method,threads,time,graph,nodes

serial,1,0.000003,../data/mycielskian5.mtx,23
serial,1,0.000002,../data/mycielskian5.mtx,23
openmp,16,0.001877,../data/mycielskian5.mtx,23
opencilk,4,0.000462,../data/mycielskian5.mtx,23
pthreads,16,0.002114,../data/mycielskian5.mtx,23
serial,1,0.000004,../data/mycielskian5.mtx,23
openmp,16,0.001316,../data/mycielskian5.mtx,23
opencilk,4,0.000574,../data/mycielskian5.mtx,23
pthreads,16,0.002616,../data/mycielskian5.mtx,23
serial,1,0.000003,../data/mycielskian5.mtx,23
openmp,16,0.001915,../data/mycielskian5.mtx,23
opencilk,4,0.000794,../data/mycielskian5.mtx,23
pthreads,16,0.002742,../data/mycielskian5.mtx,23
serial,1,0.000002,../data/mycielskian5.mtx,23
openmp,16,0.002282,../data/mycielskian5.mtx,23
opencilk,4,0.000668,../data/mycielskian5.mtx,23
pthreads,16,0.002301,../data/mycielskian5.mtx,23
serial,1,0.000001,../data/mycielskian5.mtx,23
openmp,16,0.000558,../data/mycielskian5.mtx,23
opencilk,16,0.001746,../data/mycielskian5.mtx,23
pthreads,16,0.001500,../data/mycielskian5.mtx,23
serial,1,0.758716,../data/com-Orkut.mtx,3072441
openmp,16,0.319924,../data/com-Orkut.mtx,3072441
opencilk,16,0.482850,../data/com-Orkut.mtx,3072441
pthreads,16,0.527385,../data/com-Orkut.mtx,3072441
serial,1,0.000000,../data/mycielskian5.mtx,23
openmp,16,0.000327,../data/mycielskian5.mtx,23
opencilk,16,0.000721,../data/mycielskian5.mtx,23
pthreads,16,0.000840,../data/mycielskian5.mtx,23
